school_name,country
University of Vermont,United States of America (the)
Indian Institute of Technology Roorkee,India
King Mongkut?�s University of Technology Thonburi,Thailand
National Autonomous University of Mexico,Mexico
Paris Dauphine University,France
Southern Methodist University,United States of America (the)
Temple University,United States of America (the)
University of Duisburg-Essen,Germany
University of Jyväskylä,Finland
University of KwaZulu-Natal,South Africa
University of Minho,Portugal
University of Technology Sydney,Australia
"University of the Andes, Colombia",Colombia
University of Vigo,Spain
Panjab University,India
University of Cologne,Germany
University of Nebraska-Lincoln,United States of America (the)
University of Alaska Fairbanks,United States of America (the)
Wuhan University of Technology,China
"China Medical University, Taiwan",Taiwan
Hanyang University,South Korea
Indian Institute of Technology Delhi,India
Indian Institute of Technology Kanpur,India
King Saud University,Saudi Arabia
San Diego State University,United States of America (the)
University of Florence,Italy
University of Navarra,Spain
University of Rovira i Virgili,Spain
Scuola Normale Superiore di Pisa,Italy
Syracuse University,United States of America (the)
Sabancı University,Turkey
Technical University of Berlin,Germany
Federico Santa María Technical University,Chile
University of Bremen,Germany
University of New Mexico,United States of America (the)
Indian Institute of Science,India
Lappeenranta University of Technology,Finland
University of Macau,Macau
Illinois Institute of Technology,United States of America (the)
Novosibirsk State University,Russian Federation
University of Marrakech Cadi Ayyad,Morocco
University of Nebraska Medical Center,United States of America (the)
University of Stuttgart,Germany
Ewha Womans University,South Korea
Isfahan University of Technology,Iran
Royal College of Surgeons in Ireland,Republic of Ireland
University of Lisbon,Portugal
University of Rome III,Italy
University of Seoul,South Korea
Western Sydney University,Australia
University of Mannheim,Germany
Scuola Superiore Sant?�Anna,Italy
University of Luxembourg,Luxembourg
Charité - Universitätsmedizin Berlin,Germany
Copenhagen Business School,Denmark
Florida State University,United States of America (the)
Oregon Health and Science University,United States of America (the)
Paris Descartes University,France
Peter the Great St Petersburg Polytechnic University,Russian Federation
Royal Veterinary College,United Kingdom
Rush University,United States of America (the)
Aix-Marseille University,France
University of Bordeaux,France
James Cook University,Australia
Justus Liebig University Giessen,Germany
Saint Louis University,United States of America (the)
"University of Tennessee, Knoxville",United States of America (the)
Tomsk Polytechnic University,Russian Federation
University of Greifswald,Germany
Gwangju Institute of Science and Technology,South Korea
University of Hohenheim,Germany
Kazan Federal University,Russian Federation
Medical College of Wisconsin,United States of America (the)
University of Naples Federico II,Italy
?rebro University,Sweden
Technical University of Dortmund,Germany
Toulouse 1 Capitole University,France
V?B - Technical University of Ostrava,Czech Republic
University of Cyprus,Cyprus
University of St Gallen,Switzerland
Graz University of Technology,Austria
Instituto Superior Técnico Lisboa,Portugal
University of Oulu,Finland
Panthéon-Sorbonne University ??Paris 1,France
University of South Dakota,United States of America (the)
Lille 2 University ??Health and Law,France
Verona University,Italy
American University,United States of America (the)
Bournemouth University,United Kingdom
University of Brescia,Italy
Brno University of Technology,Czech Republic
Ca??Foscari University of Venice,Italy
University of Cagliari,Italy
Catholic University of the Sacred Heart,Italy
City University London,United Kingdom
Complutense University of Madrid,Spain
Concordia University,Canada
Dublin City University,Republic of Ireland
East China University of Science and Technology,China
Florida International University,United States of America (the)
University of Genoa,Italy
Howard University,United States of America (the)
Indian Institute of Technology Madras,India
University of Ioannina,Greece
Iran University of Science and Technology,Iran
University of Kaiserslautern,Germany
Louisiana State University,United States of America (the)
Makerere University,Uganda
Marche Polytechnic University,Italy
University of Nantes,France
National and Kapodistrian University of Athens,Greece
National Institute of Applied Sciences of Lyon (INSA Lyon),France
National Yang-Ming University,Taiwan
University of Neuchâtel,Switzerland
University of Nice Sophia Antipolis,France
The Open University,United Kingdom
Oxford Brookes University,United Kingdom
University of Palermo,Italy
University of Parma,Italy
RMIT University,Australia
University of Rome II ??Tor Vergata,Italy
University of San Francisco,United States of America (the)
University of Saskatchewan,Canada
University of Siena,Italy
Southern Cross University,Australia
Tampere University of Technology,Finland
University of Ulsan,South Korea
Ulster University,United Kingdom
Université du Québec ? Montréal,Canada
Universiti Teknologi Malaysia,Malaysia
University of Urbino Carlo Bo,Italy
Xiamen University,China
American University of Beirut,Lebanon
Amirkabir University of Technology,Iran
University of Arkansas,United States of America (the)
Babe?-Bolyai University,Romania
University of the Basque Country,Spain
Bauman Moscow State Technical University,Russian Federation
Ben-Gurion University of the Negev,Israel
Blaise Pascal University,France
University of Burgundy,France
University of Canberra,Australia
University of Catania,Italy
Central Queensland University,Australia
University of Chile,Chile
China Agricultural University,China
Chung-Ang University,South Korea
Czech Technical University in Prague,Czech Republic
De Montfort University,United Kingdom
East China Normal University,China
Edith Cowan University,Australia
Federal University of Rio de Janeiro,Brazil
University of Granada,Spain
University of Haifa,Israel
Huazhong University of Science and Technology,China
Indian Institute of Technology Guwahati,India
Jadavpur University,India
Kanazawa University,Japan
King Fahd University of Petroleum and Minerals,Saudi Arabia
University of La Laguna,Spain
University of Limerick,Republic of Ireland
Manchester Metropolitan University,United Kingdom
University of Maribor,Slovenia
Masaryk University,Czech Republic
Memorial University of Newfoundland,Canada
Missouri University of Science and Technology,United States of America (the)
Montana State University,United States of America (the)
Monterrey Institute of Technology and Higher Education,Mexico
National Taiwan Normal University,Taiwan
National Technical University of Athens,Greece
New Mexico State University,United States of America (the)
University of North Carolina at Greensboro,United States of America (the)
Oklahoma State University,United States of America (the)
Osaka City University,Japan
Otto von Guericke University of Magdeburg,Germany
University of Oviedo,Spain
Palacký University in Olomouc,Czech Republic
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil
Portland State University,United States of America (the)
University of Pretoria,South Africa
Pusan National University,South Korea
Quaid-i-azam University,Pakistan
University of Regina,Canada
University of Rennes 1,France
University of Salamanca,Spain
University of Santiago de Compostela,Spain
Semmelweis University,Hungary
University of Seville,Spain
Université de Sherbrooke,Canada
Soochow University,China
South China University of Technology,China
Tallinn University of Technology,Estonia
Tehran University of Medical Sciences,Iran
University of Texas at Arlington,United States of America (the)
Tianjin University,China
University of Toledo,United States of America (the)
Tongji University,China
University of Tulsa,United States of America (the)
United Arab Emirates University,United Arab Emirates
University of Wisconsin-Milwaukee,United States of America (the)
Xi?�an Jiaotong University,China
University of A Coruña,Spain
Adam Mickiewicz University,Poland
AGH University of Science and Technology,Poland
Ajou University,South Korea
University of Alcalá,Spain
Alexandru Ioan Cuza University,Romania
Aligarh Muslim University,India
American University of Sharjah,United Arab Emirates
Amrita University,India
Anadolu University,Turkey
Andhra University,India
University of Antioquia,Colombia
Aristotle University of Thessaloniki,Greece
"Asia University, Taiwan",Taiwan
Athens University of Economics and Business,Greece
Auckland University of Technology,New Zealand
Austral University of Chile,Chile
Beijing Institute of Technology,China
Belarusian State University,Belarus
University of Belgrade,Serbia
"Birla Institute of Technology and Science, Pilani",India
University of Bradford,United Kingdom
University of Brasília,Brazil
University of Brighton,United Kingdom
University of Bucharest,Romania
Budapest University of Technology and Economics,Hungary
Cairo University,Egypt
University of Calcutta,India
"California State University, Long Beach",United States of America (the)
Capital Medical University,China
University of Castilla-La Mancha,Spain
University of Central Lancashire,United Kingdom
University of Cergy-Pontoise,France
Chang Gung University,Taiwan
Carlos III University of Madrid,Spain
"University of Chemistry and Technology, Prague",Czech Republic
Chiang Mai University,Thailand
Chiba University,Japan
China University of Geosciences (Wuhan),China
China University of Petroleum (Beijing),China
Chonbuk National University,South Korea
Chongqing University,China
Chonnam National University,South Korea
Chulalongkorn University,Thailand
Chung Yuan Christian University,Taiwan
Chungnam National University,South Korea
Comenius University in Bratislava,Slovakia
Coventry University,United Kingdom
Dalian University of Technology,China
University of Debrecen,Hungary
University of Delhi,India
University of Dhaka,Bangladesh
Dublin Institute of Technology,Republic of Ireland
Ehime University,Japan
University of Electronic Science and Technology of China,China
Eötvös Loránd University,Hungary
Erciyes University,Turkey
Federal University of Bahia,Brazil
Federal University of Minas Gerais,Brazil
Federal University of Paraná (UFPR),Brazil
Federal University of Rio Grande do Sul,Brazil
Federal University of Santa Catarina,Brazil
Federal University of São Carlos,Brazil
Federal University of Viçosa,Brazil
Federal University of Lavras,Brazil
Feng Chia University,Taiwan
Fu Jen Catholic University,Taiwan
Gda?sk University of Technology,Poland
University of Ghana,Ghana
Gifu University,Japan
Glasgow Caledonian University,United Kingdom
University of Greenwich,United Kingdom
Hacettepe University,Turkey
University of Huddersfield,United Kingdom
Hunan University,China
University of Ibadan,Nigeria
University of Indonesia,Indonesia
Inha University,South Korea
I-Shou University,Taiwan
Istanbul University,Turkey
Jilin University,China
University of Jordan,Jordan
Jordan University of Science and Technology,Jordan
Juntendo University,Japan
K.N. Toosi University of Technology,Iran
Kaohsiung Medical University,Taiwan
Khon Kaen University,Thailand
Kingston University,United Kingdom
Kinki University,Japan
Konkuk University,South Korea
Kumamoto University,Japan
Kyungpook National University,South Korea
Kyushu Institute of Technology,Japan
University of Latvia,Latvia
Lille 1 University ??Science and Technology,France
University of Lincoln,United Kingdom
University of Ljubljana,Slovenia
Miami University,United States of America (the)
Middlesex University,United Kingdom
Moscow Institute of Physics and Technology,Russian Federation
University of Murcia,Spain
Nagasaki University,Japan
University of Nairobi,Kenya
National Chengchi University,Taiwan
National Chung Cheng University,Taiwan
National Chung Hsing University,Taiwan
National Taipei University of Technology,Taiwan
National University of Córdoba,Argentina
National University of Science and Technology (MISiS),Russian Federation
National University of Sciences and Technology,Pakistan
Niigata University,Japan
Northumbria University,United Kingdom
Northwestern Polytechnical University,China
Nottingham Trent University,United Kingdom
Oakland University,United States of America (the)
Ocean University of China,China
Ohio University,United States of America (the)
Okayama University,Japan
Osaka Prefecture University,Japan
University of Pardubice,Czech Republic
Paris-Sorbonne University ??Paris 4,France
University of Patras,Greece
University of Pécs,Hungary
Pontifical Catholic University of Paraná,Brazil
Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil
Pontifical Catholic University of Valparaíso,Chile
Prince of Songkla University,Thailand
Qatar University,Qatar
Rio de Janeiro State University (UERJ),Brazil
Rochester Institute of Technology,United States of America (the)
Saitama University,Japan
University of Salford,United Kingdom
"University of Santiago, Chile (USACH)",Chile
São Paulo State University (UNESP),Brazil
Savitribai Phule Pune University,India
University of Science and Technology Beijing,China
Sejong University,South Korea
Shahid Beheshti University,Iran
Shanghai University,China
Shantou University,China
Sheffield Hallam University,United Kingdom
Shinshu University,Japan
Showa University,Japan
Sichuan University,China
University of Silesia in Katowice,Poland
Slovak University of Technology in Bratislava,Slovakia
Sogang University,South Korea
Sophia University,Japan
University of South Africa,South Africa
Southern Federal University,Russian Federation
University of Southern Mississippi,United States of America (the)
University of Southern Queensland,Australia
Suez Canal University,Egypt
Sultan Qaboos University,Oman
Suranaree University of Technology,Thailand
University of Szeged,Hungary
Taipei Medical University,Taiwan
Taras Shevchenko National University of Kyiv,Ukraine
Technical University of Madrid,Spain
University of Tehran,Iran
University of Texas at El Paso,United States of America (the)
Texas Tech University,United States of America (the)
Tokai University,Japan
Tokushima University,Japan
Tokyo University of Marine Science and Technology,Japan
Tokyo University of Science,Japan
Tomsk State University,Russian Federation
Tottori University,Japan
Toyohashi University of Technology,Japan
Universiti Kebangsaan Malaysia,Malaysia
Universiti Putra Malaysia,Malaysia
Universiti Sains Malaysia,Malaysia
Universiti Teknologi MARA,Malaysia
Ural Federal University,Russian Federation
V.N. Karazin Kharkiv National University,Ukraine
Vilnius University,Lithuania
Warsaw University of Technology,Poland
University of West Bohemia,Czech Republic
University of the West of England,United Kingdom
West University of Timi?oara,Romania
University of Westminster,United Kingdom
Xidian University,China
Yeungnam University,South Korea
Yıldız Technical University,Turkey
Yokohama City University,Japan
Yokohama National University,Japan
